1, mouse, one, one, 1.229719, 0
1, mouse, one, one, 1.373493, 0
1, mouse, one, one, 0.6186554, 0
1, mouse, one, one, 1.469273, 0
1, mouse, one, one, 0.8434842, 0
1, mouse, one, one, 0.5895644, 0
1, mouse, one, one, 0.8102122, 0
1, mouse, one, one, 0.3707741, 0
1, mouse, one, one, 0.3342745, 0
1, mouse, one, one, 0.5841801, 0
1, mouse, one, one, 0.6380032, 0
1, mouse, one, one, 0.710862, 0
1, mouse, one, one, 0.5397533, 0
1, mouse, one, one, 0.6684282, 0
1, mouse, one, one, 0.5764072, 0
1, mouse, one, one, 0.5538462, 0
1, mouse, one, one, 0.7606735, 0
1, mouse, one, one, 0.6055251, 0
1, mouse, one, one, 0.5617669, 0
1, mouse, one, one, 0.5674864, 0
1, mouse, one, one, 0.5392407, 0
1, mouse, one, one, 0.4857589, 0
1, mouse, one, one, 0.4600858, 0
1, mouse, one, one, 0.4767491, 0
1, mouse, one, one, 1.128646, 0
1, mouse, one, one, 0.7059866, 0
1, mouse, one, one, 0.6802453, 0
1, mouse, one, one, 0.6402146, 0
1, mouse, one, one, 0.6691324, 0
1, mouse, one, one, 0.6310712, 0
1, mouse, one, one, 0.6696302, 0
1, mouse, one, one, 0.6808187, 0
1, mouse, one, one, 0.6614512, 0
1, mouse, one, one, 0.6037619, 0
1, mouse, one, one, 1.443678, 0
1, mouse, one, one, 0.7612715, 0
1, mouse, one, one, 0.6529037, 0
1, mouse, one, one, 1.70693, 0
1, mouse, one, one, 0.6953979, 0
1, mouse, one, one, 0.668511, 0
1, mouse, one, one, 0.7330654, 0
1, mouse, one, one, 0.7302309, 0
1, mouse, one, one, 0.668627, 0
1, mouse, one, one, 0.633719, 0
1, mouse, one, one, 0.6815403, 0
1, mouse, one, one, 0.7686533, 0
1, mouse, one, one, 0.6240016, 0
1, mouse, one, one, 0.7959638, 0
1, mouse, one, one, 0.6623114, 0
1, mouse, one, one, 0.7019761, 0
1, mouse, one, one, 26.58729, 0
1, mouse, one, one, 0.5478656, 0
1, mouse, one, one, 0.6022261, 0
1, mouse, one, one, 1.348109, 0
1, mouse, one, one, 0.9598378, 0
1, mouse, one, one, 0.902863, 0
1, mouse, one, one, 0.980183, 0
1, mouse, one, one, 0.8456886, 0
1, mouse, one, one, 0.8543415, 0
1, mouse, one, one, 0.8952577, 0
1, mouse, one, one, 0.8035939, 0
1, mouse, one, one, 0.888485, 0
1, mouse, one, one, 2.657051, 0
1, mouse, one, one, 0.7765041, 0
1, mouse, one, one, 0.9014728, 0
1, mouse, one, one, 0.7547985, 0
1, mouse, one, one, 0.8211699, 0
1, mouse, one, one, 0.7340452, 0
1, mouse, one, one, 0.8320565, 0
1, mouse, one, one, 0.602645, 0
1, mouse, one, one, 0.8478826, 0
1, mouse, one, one, 2.600678, 0
1, mouse, one, one, 0.7247023, 0
1, mouse, one, one, 0.810533, 0
1, mouse, one, one, 0.8373712, 0
1, mouse, one, one, 0.6477436, 0
1, mouse, one, one, 0.740478, 0
1, mouse, one, one, 0.6594539, 0
1, mouse, one, one, 0.6698607, 0
1, mouse, one, one, 0.7303361, 0
1, mouse, one, one, 4.051064, 0
1, mouse, one, one, 0.6463207, 0
1, mouse, one, one, 0.8618591, 0
1, mouse, one, one, 0.5900905, 0
1, mouse, one, one, 0.739044, 0
1, mouse, one, one, 0.5338487, 0
1, mouse, one, one, 0.6302421, 0
1, mouse, one, one, 0.7061037, 0
1, mouse, one, one, 0.7310187, 0
1, mouse, one, one, 5.699861, 0
1, mouse, one, one, 0.6473797, 0
1, mouse, one, one, 0.596282, 0
1, mouse, one, one, 0.7052897, 0
1, mouse, one, one, 1.456295, 0
1, mouse, one, one, 0.7958941, 0
1, mouse, one, one, 0.7097225, 0
1, mouse, one, one, 0.8323355, 0
1, mouse, one, one, 0.7251522, 0
1, mouse, one, one, 3.00587, 0
1, mouse, one, one, 0.5839405, 0
1, mouse, one, one, 0.6393065, 0
1, mouse, one, one, 0.7384176, 0
1, mouse, one, one, 0.675843, 0
1, mouse, one, one, 0.7259361, 0
1, mouse, one, one, 0.6542785, 0
1, mouse, one, one, 0.7314331, 0
1, mouse, one, one, 0.8253567, 0
1, mouse, one, one, 3.992651, 0
